time_years,n,mae_raw,median_abs_log10_ratio,q90_abs_log10_ratio,frac_within_2x,frac_within_5x,frac_within_10x,coverage_90_cal
0.1,44,3418820027780003.0,2.805534404329375e-08,4.7301452668945454e-08,1.0,1.0,1.0,1.0
0.2,44,3418820027780003.0,2.805534404329375e-08,4.7301452668945454e-08,1.0,1.0,1.0,1.0
0.3,44,3418820027780003.0,2.805534404329375e-08,4.7301452668945454e-08,1.0,1.0,1.0,1.0
0.4,44,3418820027780003.0,2.805534404329375e-08,4.7301452668945454e-08,1.0,1.0,1.0,1.0
0.5,44,3418820027780003.0,2.805534404329375e-08,4.7301452668945454e-08,1.0,1.0,1.0,1.0
0.6,44,3418820027780003.0,2.805534404329375e-08,4.7301452668945454e-08,1.0,1.0,1.0,1.0
0.7,44,5651403911844212.0,2.8219298358827517e-08,4.7301452668945454e-08,1.0,1.0,1.0,0.9772727272727273
0.8,44,5679778032564783.0,2.890905471930956e-08,4.7301452668945454e-08,1.0,1.0,1.0,0.9772727272727273
0.9,44,1.1893024089487918e+16,2.8137803762587045e-08,6.938517473052994e-08,1.0,1.0,1.0,0.8409090909090909
1.0,44,1.8069986837504744e+16,3.641297980703679e-08,8.03155753236636e-07,1.0,1.0,1.0,0.8181818181818182
1.0997527397260274,44,2.4839398720894044e+16,1.9713928053920245e-07,4.573850068773627e-07,1.0,1.0,1.0,1.0
1.1998212328767124,44,2.3959392206836084e+16,1.9089647512912765e-07,4.5141814303320913e-07,1.0,1.0,1.0,1.0
1.2998897260273972,44,2.7923188699150896e+16,1.7159912581946055e-07,5.554865080346845e-07,1.0,1.0,1.0,1.0
1.3999582191780822,44,1.7576918443455582e+16,3.0812789399499213e-08,5.919486705740743e-07,1.0,1.0,1.0,1.0
1.5000267123287672,44,1.1207889697898496e+16,5.4670105504266725e-09,4.3037517322286774e-07,1.0,1.0,1.0,1.0
1.600095205479452,44,9949267589428318.0,5.4670105504266725e-09,4.22432024086477e-07,1.0,1.0,1.0,1.0
1.700163698630137,44,1.2099571068579468e+16,8.813059877347475e-09,4.230040389682103e-07,1.0,1.0,1.0,0.9772727272727273
1.800232191780822,44,1.2242962997337368e+16,3.1679997094907294e-08,4.2221258192286e-07,1.0,1.0,1.0,1.0
1.9003006849315067,44,1.0656778367127924e+16,3.1679997094907294e-08,3.212738097823369e-07,1.0,1.0,1.0,1.0
2.000369178082192,44,1.1611338360249624e+16,5.3877915953148325e-08,2.522623311956823e-07,1.0,1.0,1.0,1.0
2.1004376712328767,44,2.0972893407876932e+16,1.4594082255205845e-07,3.9904781568409454e-07,1.0,1.0,1.0,1.0
2.1995054794520548,44,2.2101757614477684e+16,1.501074513372236e-07,4.142438940000446e-07,1.0,1.0,1.0,1.0
2.29957397260274,44,2.2652686064823948e+16,1.674068315899077e-07,4.4315503406586046e-07,1.0,1.0,1.0,1.0
2.3996424657534248,44,2.2156808955673136e+16,1.674068315899077e-07,4.0349043873441263e-07,1.0,1.0,1.0,1.0
2.4997109589041093,44,2.256707689248433e+16,1.7776936506355866e-07,4.178841018250405e-07,1.0,1.0,1.0,1.0
2.5997794520547943,44,2.3115664912047384e+16,1.6061868679943945e-07,4.611594996196038e-07,1.0,1.0,1.0,1.0
2.6998479452054798,30,2.5648023716006024e+16,2.1108737502322117e-07,4.473570898541775e-07,1.0,1.0,1.0,1.0
2.69984794520548,14,2.2410453932947164e+16,1.0651207844291882e-07,4.542647215226191e-07,1.0,1.0,1.0,1.0
2.7999164383561643,44,2.0406099022327436e+16,1.2966265038919882e-07,3.6779349571756265e-07,1.0,1.0,1.0,1.0
2.8999849315068493,44,2.0867551190748068e+16,1.2966265038919882e-07,4.2538607871563997e-07,1.0,1.0,1.0,1.0
3.0000534246575343,44,2.1275936862145444e+16,1.2966265038919882e-07,4.5221211028967307e-07,1.0,1.0,1.0,1.0
3.100121917808219,44,2.194566421828552e+16,1.8346844053833885e-07,3.447949036854884e-07,1.0,1.0,1.0,1.0
3.200190410958904,44,2.8000339714876136e+16,2.2587343170644554e-07,4.967598272168526e-07,1.0,1.0,1.0,1.0
3.300258904109589,44,3.2037977889606564e+16,2.636121279777427e-07,4.6340996510063326e-07,1.0,1.0,1.0,1.0
3.400327397260274,44,3.416101501348324e+16,3.156154894479092e-07,5.436264989349252e-07,1.0,1.0,1.0,1.0
3.500395890410959,44,3.163997702665011e+16,2.6623752037107564e-07,5.053791174693935e-07,1.0,1.0,1.0,1.0
3.600464383561644,44,3.5781540897762956e+16,2.9263901260902497e-07,6.4055398884593e-07,1.0,1.0,1.0,1.0
3.699532191780822,44,3.4260637945358524e+16,2.7507186560165547e-07,6.237664139598445e-07,1.0,1.0,1.0,1.0
3.799600684931507,44,3.105037797842199e+16,2.1065635884963094e-07,5.544592492660767e-07,1.0,1.0,1.0,1.0
3.899669178082192,44,2.670185238361777e+16,1.6050400680945035e-07,5.191594823374877e-07,1.0,1.0,1.0,1.0
3.999737671232877,44,2.5422156912298916e+16,1.5117522213835107e-07,5.167314760442543e-07,1.0,1.0,1.0,1.0
4.099806164383562,44,2.7452579316331612e+16,1.765487854722012e-07,5.683336815464978e-07,1.0,1.0,1.0,1.0
4.199874657534247,44,2.7328626369900172e+16,1.9416385492405497e-07,5.259971257819872e-07,1.0,1.0,1.0,1.0
4.299943150684931,44,3.2827543034122612e+16,2.5671655222222833e-07,5.846827897352713e-07,1.0,1.0,1.0,0.9772727272727273
4.400011643835617,44,3.6509311509963496e+16,2.45066217394076e-07,6.613486156219126e-07,1.0,1.0,1.0,1.0
4.500080136986301,44,3.416841045185778e+16,2.6409745834572336e-07,6.076664187571259e-07,1.0,1.0,1.0,0.9772727272727273
4.600148630136987,44,3.0623356817601628e+16,2.4757421207656756e-07,5.000924247125388e-07,1.0,1.0,1.0,1.0
4.700217123287671,44,2.9731118701871104e+16,2.2533636919545946e-07,5.203793288404088e-07,1.0,1.0,1.0,1.0
4.800285616438356,44,2.6983098718140976e+16,1.9965902193022524e-07,4.646987495154901e-07,1.0,1.0,1.0,1.0
4.900354109589042,44,2.815121127598862e+16,1.9508356712380545e-07,4.890662943820456e-07,1.0,1.0,1.0,0.9772727272727273
5.000422602739726,44,3.4026302331110864e+16,2.062015332843815e-07,6.260798567783196e-07,1.0,1.0,1.0,1.0
5.100491095890412,44,2.9990694298463884e+16,2.2563420308599215e-07,5.460433463280199e-07,1.0,1.0,1.0,1.0
5.199558904109589,44,3.0583525782585344e+16,2.457111077595592e-07,5.256788069787054e-07,1.0,1.0,1.0,1.0
5.299627397260274,44,2.930776811127082e+16,2.1156875216502077e-07,4.4201012614461553e-07,1.0,1.0,1.0,0.9545454545454546
5.399695890410959,44,2.953511264207146e+16,2.0252946480578643e-07,5.366561333996594e-07,1.0,1.0,1.0,0.9772727272727273
5.499764383561644,44,3.1072472067854708e+16,1.9846499815720843e-07,5.694032458920766e-07,1.0,1.0,1.0,1.0
5.599832876712329,44,3.430619923849961e+16,2.9956739028296913e-07,5.29177156214218e-07,1.0,1.0,1.0,0.9772727272727273
5.699901369863014,44,4.054922967460324e+16,3.092734113703323e-07,6.360191599217749e-07,1.0,1.0,1.0,0.9545454545454546
5.799969863013699,44,4.002930201527463e+16,3.097449116641721e-07,6.301753681662145e-07,1.0,1.0,1.0,0.9545454545454546
5.900038356164384,44,3.7441736711363864e+16,3.094408548060902e-07,6.036807930297138e-07,1.0,1.0,1.0,0.9772727272727273
6.000106849315069,44,3.7107532231844584e+16,3.104739647219011e-07,6.142964275765396e-07,1.0,1.0,1.0,1.0
6.100175342465754,44,3.648952654312243e+16,3.0944880488395274e-07,5.84992911593985e-07,1.0,1.0,1.0,0.9545454545454546
6.200243835616438,44,4.042513815351519e+16,2.824299973527152e-07,7.20915597086024e-07,1.0,1.0,1.0,0.9090909090909091
6.300312328767123,44,3.795103352704801e+16,2.511331125418282e-07,6.564592565717377e-07,1.0,1.0,1.0,0.9545454545454546
6.400380821917808,44,3.898209791510863e+16,3.246511613672191e-07,6.564592565717377e-07,1.0,1.0,1.0,0.9318181818181818
6.500449315068493,44,3.9271803247585464e+16,3.3535252669881865e-07,6.700717249805231e-07,1.0,1.0,1.0,1.0
6.599517123287671,44,4.24258619644671e+16,3.589927941671198e-07,7.054061126124298e-07,1.0,1.0,1.0,0.9545454545454546
6.699585616438356,44,4.2478728985158376e+16,3.4711353620256973e-07,6.572229978382087e-07,1.0,1.0,1.0,0.9545454545454546
6.799654109589041,44,3.453719469301909e+16,2.4492908537864726e-07,6.734844452003006e-07,1.0,1.0,1.0,1.0
6.899722602739726,44,3.1882111306122704e+16,1.7126273056801451e-07,6.519853812213409e-07,1.0,1.0,1.0,0.9545454545454546
6.999791095890411,44,3.623538579276967e+16,2.159833511515404e-07,7.177926869217838e-07,1.0,1.0,1.0,0.9318181818181818
7.099859589041096,44,3.3946770412237916e+16,1.8148280294605836e-07,6.68558289007519e-07,1.0,1.0,1.0,0.9318181818181818
7.199928082191781,44,3.552575720745742e+16,2.5313217324228153e-07,6.836159561441492e-07,1.0,1.0,1.0,0.9545454545454546
7.299996575342465,44,3.743264581634681e+16,2.6712931438469916e-07,6.466547563460821e-07,1.0,1.0,1.0,0.9545454545454546
7.40006506849315,44,3.591821742628715e+16,2.5999258146222607e-07,6.293763489471806e-07,1.0,1.0,1.0,0.9545454545454546
7.500133561643835,44,3.5319555368300172e+16,2.785510718134839e-07,6.450369047513865e-07,1.0,1.0,1.0,0.9545454545454546
7.60020205479452,44,3.630959341371988e+16,2.987708840658049e-07,6.921234206733374e-07,1.0,1.0,1.0,0.9318181818181818
7.700270547945205,44,3.924751009505131e+16,2.638545927584875e-07,7.591042294977779e-07,1.0,1.0,1.0,0.9090909090909091
7.80033904109589,44,4.435499261057136e+16,2.9702093427807647e-07,8.350698034329352e-07,1.0,1.0,1.0,0.8863636363636364
