time_years,n,mae_raw,median_abs_log10_ratio,q90_abs_log10_ratio,frac_within_2x,frac_within_5x,frac_within_10x,coverage_90_cal
0.1,44,3015641440631342.5,1.6545018465265617e-07,7.20795836521422e-07,1.0,1.0,1.0,1.0
0.2,44,4983964946065594.0,4.503675250704037e-07,9.553287421925055e-07,1.0,1.0,1.0,1.0
0.3,44,5372347759960809.0,4.621068257147433e-07,1.072300539239719e-06,1.0,1.0,1.0,1.0
0.4,44,5595379022537449.0,4.860558329801413e-07,1.093382546498091e-06,1.0,1.0,1.0,1.0
0.5,44,4327749240094720.0,3.993704457744525e-07,1.0026894899330837e-06,1.0,1.0,1.0,1.0
0.6,44,6240650178282961.0,5.683208624121387e-07,1.3032961000076804e-06,1.0,1.0,1.0,1.0
0.7,44,6956070543854499.0,5.683222955282724e-07,1.4174280626301804e-06,1.0,1.0,1.0,1.0
0.8,44,8324457032628783.0,8.136986356391162e-07,1.7267183192830468e-06,1.0,1.0,1.0,1.0
0.9,44,8606873301227334.0,9.238646580527772e-07,1.7353689187933394e-06,1.0,1.0,1.0,1.0
1.0,44,9714949179691380.0,9.227732191131833e-07,1.9657221817724915e-06,1.0,1.0,1.0,1.0
1.0997527397260274,44,1.367217264497906e+16,1.3711659081122138e-06,2.6383174255673077e-06,1.0,1.0,1.0,1.0
1.1998212328767124,44,1.475438690416007e+16,1.2263333884784826e-06,2.8106539436625068e-06,1.0,1.0,1.0,1.0
1.2998897260273972,44,1.5207746239105954e+16,1.21908524781627e-06,3.199094938423726e-06,1.0,1.0,1.0,1.0
1.3999582191780822,44,1.4696796384633576e+16,1.1057331047453493e-06,3.2446759362419685e-06,1.0,1.0,1.0,1.0
1.5000267123287672,44,2.0925586783588724e+16,1.3899649061706994e-06,5.18206521499273e-06,1.0,1.0,1.0,1.0
1.600095205479452,44,1.7530284563675694e+16,9.117733262898331e-07,4.6546166122716934e-06,1.0,1.0,1.0,1.0
1.700163698630137,44,2.335998749214459e+16,1.5231156223139227e-06,5.411525112651258e-06,1.0,1.0,1.0,1.0
1.800232191780822,44,2.5279206859306076e+16,1.619661844419288e-06,6.320731834827537e-06,1.0,1.0,1.0,1.0
1.9003006849315067,44,3.1853938863171772e+16,2.3785056867105216e-06,7.286671622778478e-06,1.0,1.0,1.0,1.0
2.000369178082192,44,2.7938977999105676e+16,1.9169816525696114e-06,5.299388719715934e-06,1.0,1.0,1.0,1.0
2.1004376712328767,44,3.06703000186031e+16,1.8071942582050465e-06,6.9102708418166805e-06,1.0,1.0,1.0,1.0
2.1995054794520548,44,2.907051048255786e+16,1.6951741828720755e-06,6.952093422871377e-06,1.0,1.0,1.0,1.0
2.29957397260274,44,2.8691871090677572e+16,2.089198879324192e-06,6.836525064650451e-06,1.0,1.0,1.0,1.0
2.3996424657534248,44,3.058915436897001e+16,2.2535819673494128e-06,7.586920797032047e-06,1.0,1.0,1.0,1.0
2.4997109589041093,44,3.19969196142875e+16,2.8015953296981367e-06,6.582275133988837e-06,1.0,1.0,1.0,1.0
2.5997794520547943,44,4.026345385734367e+16,2.6992803722971545e-06,1.0384184219217776e-05,1.0,1.0,1.0,1.0
2.6998479452054798,30,4.0473810344450456e+16,3.4853431275313664e-06,7.71445531323319e-06,1.0,1.0,1.0,1.0
2.69984794520548,14,3.1111309280636344e+16,3.000188769733235e-06,6.502362150598775e-06,1.0,1.0,1.0,1.0
2.7999164383561643,44,3.930932608817859e+16,3.740214539492785e-06,8.081206867701593e-06,1.0,1.0,1.0,1.0
2.8999849315068493,44,4.206851573961672e+16,3.3797988085909005e-06,8.26324524898809e-06,1.0,1.0,1.0,1.0
3.0000534246575343,44,4.533593125795207e+16,4.1328918021226414e-06,9.607331345067989e-06,1.0,1.0,1.0,1.0
3.100121917808219,44,5.456222634631019e+16,4.448175660672577e-06,1.2480038232563056e-05,1.0,1.0,1.0,1.0
3.200190410958904,44,5.336039520853867e+16,4.631021522298902e-06,1.2230565651736739e-05,1.0,1.0,1.0,1.0
3.300258904109589,44,6.124492031614231e+16,4.6139633900885155e-06,1.6143237699111094e-05,1.0,1.0,1.0,1.0
3.400327397260274,44,6.332546498035712e+16,6.467073246994928e-06,1.5013127712796166e-05,1.0,1.0,1.0,1.0
3.500395890410959,44,7.197021158794854e+16,5.30708752853843e-06,1.628112999512465e-05,1.0,1.0,1.0,1.0
3.600464383561644,44,6.714228429195003e+16,5.071670872750906e-06,1.4889779403811362e-05,1.0,1.0,1.0,1.0
3.699532191780822,44,8.328948145271603e+16,6.756090215561668e-06,2.0900843660561604e-05,1.0,1.0,1.0,1.0
3.799600684931507,44,7.583648912596248e+16,4.626258284471416e-06,1.880425158954996e-05,1.0,1.0,1.0,1.0
3.899669178082192,44,7.686432547030482e+16,5.310546700792824e-06,1.9074712445444634e-05,1.0,1.0,1.0,1.0
3.999737671232877,44,7.967470898435611e+16,6.185071749476835e-06,1.673475920062131e-05,1.0,1.0,1.0,1.0
4.099806164383562,44,8.348599220018754e+16,7.224309354812707e-06,1.848054230513744e-05,1.0,1.0,1.0,1.0
4.199874657534247,44,8.788519812225136e+16,6.543450867737487e-06,2.0725990001125172e-05,1.0,1.0,1.0,1.0
4.299943150684931,44,9.911920535918107e+16,8.106817891757535e-06,2.2741469355623362e-05,1.0,1.0,1.0,1.0
4.400011643835617,44,1.0869598482891347e+17,7.3101648717318755e-06,2.3308900160931862e-05,1.0,1.0,1.0,0.9772727272727273
4.500080136986301,44,1.126078195422033e+17,1.1089346270720615e-05,2.2403588932715064e-05,1.0,1.0,1.0,0.9772727272727273
4.600148630136987,44,1.1459757257345658e+17,1.2163561876950263e-05,2.162457870366068e-05,1.0,1.0,1.0,1.0
4.700217123287671,44,1.3341970396616518e+17,1.2232526104356424e-05,2.8034797610961917e-05,1.0,1.0,1.0,0.9772727272727273
4.800285616438356,44,1.5759572139420726e+17,1.3494852494326506e-05,3.1254752007170845e-05,1.0,1.0,1.0,0.9772727272727273
4.900354109589042,44,1.6211814378481552e+17,1.2125300536963761e-05,3.316899920463148e-05,1.0,1.0,1.0,0.9772727272727273
5.000422602739726,44,1.7296795798730416e+17,1.3333079039652433e-05,3.442393596271496e-05,1.0,1.0,1.0,0.9772727272727273
5.100491095890412,44,1.727197294919084e+17,1.4360670337847383e-05,3.413772684769974e-05,1.0,1.0,1.0,0.9772727272727273
5.199558904109589,44,1.6198179226782032e+17,1.4477699872561012e-05,3.366783386236526e-05,1.0,1.0,1.0,0.9772727272727273
5.299627397260274,44,1.5095552363094464e+17,1.348775428165784e-05,3.3674580356812436e-05,1.0,1.0,1.0,0.9772727272727273
5.399695890410959,44,1.601548579272607e+17,1.7146794867980845e-05,3.3923384013837805e-05,1.0,1.0,1.0,1.0
5.499764383561644,44,1.585963620654002e+17,1.426185254941885e-05,3.363543567814204e-05,1.0,1.0,1.0,1.0
5.599832876712329,44,1.691269539443388e+17,1.536136147831865e-05,3.8325176688664543e-05,1.0,1.0,1.0,0.9772727272727273
5.699901369863014,44,1.9059106280999843e+17,1.3308552081654646e-05,4.42141182947472e-05,1.0,1.0,1.0,0.9545454545454546
5.799969863013699,44,1.9379748251953338e+17,2.0184730627976883e-05,4.375318484474395e-05,1.0,1.0,1.0,1.0
5.900038356164384,44,2.161811350966525e+17,1.7703124246960068e-05,4.805026006365379e-05,1.0,1.0,1.0,0.9545454545454546
6.000106849315069,44,2.296506038127642e+17,1.8450275528151565e-05,5.181658182965912e-05,1.0,1.0,1.0,0.9318181818181818
6.100175342465754,44,2.1419919777772934e+17,1.2400540794878164e-05,5.052973548154681e-05,1.0,1.0,1.0,0.9545454545454546
6.200243835616438,44,2.2088042424321488e+17,1.633114090624032e-05,5.235702685875279e-05,1.0,1.0,1.0,0.9318181818181818
6.300312328767123,44,2.1992255209551834e+17,1.4882566698635257e-05,5.04446461448217e-05,1.0,1.0,1.0,0.9545454545454546
6.400380821917808,44,2.132125583925814e+17,1.5892429925504136e-05,4.9479530243412124e-05,1.0,1.0,1.0,0.9545454545454546
6.500449315068493,44,2.2358099425145056e+17,1.7465515104393346e-05,5.042329797692891e-05,1.0,1.0,1.0,0.9318181818181818
6.599517123287671,44,2.3799283579992624e+17,2.138585636855164e-05,5.33653106434298e-05,1.0,1.0,1.0,0.9545454545454546
6.699585616438356,44,2.383049866771884e+17,1.9666150955219554e-05,5.880686850034921e-05,1.0,1.0,1.0,0.8863636363636364
6.799654109589041,44,2.6624415554359072e+17,2.2940907922621187e-05,6.152635326636052e-05,1.0,1.0,1.0,0.8863636363636364
6.899722602739726,44,2.9380345573504096e+17,2.3232551009097884e-05,6.203235694798733e-05,1.0,1.0,1.0,0.8863636363636364
6.999791095890411,44,2.777587734574173e+17,1.578070603753877e-05,6.205087834027526e-05,1.0,1.0,1.0,0.8863636363636364
7.099859589041096,44,2.581398925725711e+17,1.772120038145566e-05,6.454813970161932e-05,1.0,1.0,1.0,0.8863636363636364
7.199928082191781,44,2.461682073337856e+17,1.4584909596038468e-05,6.350361599880988e-05,1.0,1.0,1.0,0.8863636363636364
7.299996575342465,44,2.5086909427809114e+17,1.8995414236564457e-05,5.810471284230924e-05,1.0,1.0,1.0,0.9090909090909091
7.40006506849315,44,2.9353622309182445e+17,2.223960645264979e-05,6.871420164294513e-05,1.0,1.0,1.0,0.8863636363636364
7.500133561643835,44,3.082757170993085e+17,2.6432410193639506e-05,7.454033501497633e-05,1.0,1.0,1.0,0.8636363636363636
7.60020205479452,44,3.0524691369435283e+17,2.4519811485964437e-05,6.684483373890699e-05,1.0,1.0,1.0,0.8636363636363636
7.700270547945205,44,3.1895325989256915e+17,2.57997705240817e-05,6.966521296110663e-05,1.0,1.0,1.0,0.8636363636363636
7.80033904109589,44,3.0082659194369715e+17,2.0900427654107364e-05,6.464055236539933e-05,1.0,1.0,1.0,0.8636363636363636
7.900407534246575,44,3.057583732448535e+17,2.5207188484089838e-05,6.310884100652846e-05,1.0,1.0,1.0,0.8863636363636364
8.00047602739726,44,2.976693527364001e+17,2.0265380382780473e-05,6.491195164187288e-05,1.0,1.0,1.0,0.8863636363636364
8.099543835616439,44,3.2478096749254765e+17,2.4877198227552597e-05,6.914537392424317e-05,1.0,1.0,1.0,0.8181818181818182
8.199612328767124,44,3.248495529299804e+17,2.6023461172677416e-05,7.191484093764413e-05,1.0,1.0,1.0,0.8181818181818182
8.299680821917809,44,3.187058031823898e+17,2.4513803153521094e-05,6.124456733712026e-05,1.0,1.0,1.0,0.8863636363636364
8.399749315068494,44,3.073179755763585e+17,2.826025351452684e-05,5.805228373044229e-05,1.0,1.0,1.0,0.9090909090909091
8.499817808219179,44,3.0726588367480723e+17,2.8483341150576116e-05,5.312331050059365e-05,1.0,1.0,1.0,0.9090909090909091
8.599886301369862,44,3.076648716414842e+17,2.9024074436587935e-05,5.866879769999313e-05,1.0,1.0,1.0,0.9090909090909091
8.699954794520549,44,2.998255108380426e+17,2.454245716015538e-05,5.649633589169432e-05,1.0,1.0,1.0,0.9090909090909091
8.800023287671234,44,3.0504697220480723e+17,2.6050812093076193e-05,5.761665423099394e-05,1.0,1.0,1.0,0.9318181818181818
8.900091780821917,44,3.1545028030606394e+17,2.975285657797379e-05,6.42697819828694e-05,1.0,1.0,1.0,0.8863636363636364
9.000160273972602,44,3.116534301668505e+17,3.287502117768328e-05,5.474570422518236e-05,1.0,1.0,1.0,0.9090909090909091
9.100228767123289,44,3.168883978501786e+17,2.9330474590122093e-05,5.613085468302597e-05,1.0,1.0,1.0,0.9090909090909091
9.200297260273974,44,3.121194554888743e+17,2.4671718739131913e-05,5.731935531141086e-05,1.0,1.0,1.0,0.9090909090909091
9.30036575342466,44,3.324748713587686e+17,3.0784496964842917e-05,6.497261223978652e-05,1.0,1.0,1.0,0.8863636363636364
9.400434246575342,44,3.30804783695242e+17,3.0167483513657326e-05,6.734564125046297e-05,1.0,1.0,1.0,0.8863636363636364
9.49950205479452,44,3.310168328469932e+17,2.9697175473377816e-05,6.221256975388603e-05,1.0,1.0,1.0,0.8863636363636364
9.599570547945206,44,3.3635680090905286e+17,2.811642028891845e-05,6.716148457686579e-05,1.0,1.0,1.0,0.8409090909090909
9.69963904109589,44,3.021723150839257e+17,2.7006639487656495e-05,5.5873337792407413e-05,1.0,1.0,1.0,0.9318181818181818
9.799707534246576,44,3.03668478486035e+17,2.4630174157009523e-05,5.242094403749691e-05,1.0,1.0,1.0,0.9318181818181818
9.89977602739726,44,3.030436778672486e+17,2.5463781759807473e-05,5.9476899575335295e-05,1.0,1.0,1.0,0.8863636363636364
9.999844520547946,44,2.897663770161435e+17,2.2697631855950726e-05,5.617865487531369e-05,1.0,1.0,1.0,0.9318181818181818
9.999844552257738,44,2.9172001639192685e+17,2.3018505044899953e-05,5.703140052252133e-05,1.0,1.0,1.0,0.9318181818181818
9.99985403348554,44,2.9131927110311194e+17,2.3018505044899953e-05,5.703140052252133e-05,1.0,1.0,1.0,0.9318181818181818
9.999901598173516,44,2.913360656761666e+17,2.3018505044899953e-05,5.703140052252133e-05,1.0,1.0,1.0,0.9318181818181818
