Target,Temporal bin,n,MAE_log10,q90_log10,max_log10
³H,0-1 y,9,0.0312,0.0673,0.0436
³H,1-10 y,96,0.0166,0.0404,0.0257
³H,10-100 y,15,0.0145,0.0375,0.0235
³H,100 y-1 ky,1,0.0704,0.2935,0.0704
³H,1-10 ky,1,1.7870,7.2699,1.7870
³H,>10 ky,1,1.7870,7.2699,1.7870
⁶Li,0-1 y,9,0.0000,0.0000,0.0000
⁶Li,1-10 y,96,0.0000,0.0000,0.0000
⁶Li,10-100 y,15,0.0000,0.0001,0.0000
⁶Li,100 y-1 ky,1,0.0000,0.0001,0.0000
⁶Li,1-10 ky,1,0.0000,0.0001,0.0000
⁶Li,>10 ky,1,0.0000,0.0001,0.0000
⁷Li,0-1 y,9,0.0000,0.0000,0.0000
⁷Li,1-10 y,96,0.0000,0.0000,0.0000
⁷Li,10-100 y,15,0.0000,0.0000,0.0000
⁷Li,100 y-1 ky,1,0.0000,0.0000,0.0000
⁷Li,1-10 ky,1,0.0000,0.0000,0.0000
⁷Li,>10 ky,1,0.0000,0.0000,0.0000
Decay heat,0-1 y,9,0.0015,0.0037,0.0015
Decay heat,1-10 y,96,0.0058,0.0115,0.0087
Decay heat,10-100 y,15,0.0003,0.0006,0.0006
Decay heat,100 y-1 ky,1,0.0002,0.0006,0.0002
Decay heat,1-10 ky,1,0.0002,0.0006,0.0002
Decay heat,>10 ky,1,0.0002,0.0006,0.0002
