act,heat,h3,li6,li7,time_s,time_years
426016000000000.0,106.363,8.67368e+19,4.00552e+21,4.96962e+22,31557600.0,1.0
1031470000000000.0,257.638,4.78574e+20,3.64158e+21,4.9598e+22,94672800.0,3.0
1903890000000000.0,453.41900000000004,1.88364e+21,2.32737e+21,4.911e+22,252460800.0,8.0
2880700000000000.0,646.356,2.50331e+21,1.82884e+21,4.88195e+22,315576000.0,10.0
1783140000000000.0,361.619,2.50331e+21,1.82884e+21,4.88195e+22,315576001.0,10.000000031688089
799413000000000.0,125.99199999999999,2.5033e+21,1.82884e+21,4.88195e+22,315576300.0,10.000009506426345
722378000000000.0,100.785,2.5033e+21,1.82884e+21,4.88195e+22,315577800.0,10.000057038558065
625792000000000.0,69.1658,2.50328e+21,1.82884e+21,4.88195e+22,315579600.0,10.00011407711613
517948000000000.0,37.1789,2.50323e+21,1.82884e+21,4.88195e+22,315586800.0,10.000342231348391
473900000000000.0,29.9968,2.50315e+21,1.82884e+21,4.88195e+22,315594000.0,10.000570385580653
424870000000000.0,26.819300000000002,2.50299e+21,1.82884e+21,4.88195e+22,315612000.0,10.001140771161305
333453000000000.0,21.2919,2.50261e+21,1.82884e+21,4.88195e+22,315662400.0,10.002737850787133
216181000000000.0,14.192,2.50184e+21,1.82884e+21,4.88195e+22,315748800.0,10.005475701574264
82162400000000.0,5.73721,2.49914e+21,1.82884e+21,4.88195e+22,316180800.0,10.019164955509925
38680600000000.0,2.51483,2.49376e+21,1.82884e+21,4.88195e+22,316785600.0,10.038329911019849
17545200000000.0,0.863188,2.48304e+21,1.82884e+21,4.88195e+22,317995200.0,10.0766598220397
11120100000000.0,0.384427,2.46173e+21,1.82884e+21,4.88195e+22,320414400.0,10.153319644079398
9022000000000.0,0.25198400000000004,2.39354e+21,1.82884e+21,4.88195e+22,331344000.0,10.499657768651609
7653640000000.0,0.186192,2.26279e+21,1.82884e+21,4.88195e+22,347112000.0,10.999315537303216
2931830000000.0,0.0540109,1.29023e+21,1.82884e+21,4.88195e+22,630936000.0,19.99315537303217
22847200000.0,0.00358523,4.68697e+18,1.82884e+21,4.88195e+22,3469176000.0,109.9315537303217
597512000.0,3.0156399999999998e-05,0.0,1.82884e+21,4.88195e+22,31851576000.0,1009.315537303217
572512000.0,2.7977099999999997e-05,0.0,1.82884e+21,4.88195e+22,315675576000.0,10003.15537303217
