method_label,method,target,grouping,global_picp,tail_picp_1ky_10ky,median_width,mean_width,source
proposed_global,proposed,atoms_H3,global,0.926,0.853,1.2551551937016614,1.2551551937016614,baseline_comparison_results.csv
proposed_global,proposed,atoms_Li6,global,0.9677083333333332,0.9375,1.000389301657973,1.0003893016579732,baseline_comparison_results.csv
proposed_global,proposed,atoms_Li7,global,0.9479166666666666,0.875,1.0000033149912395,1.0000033149912395,baseline_comparison_results.csv
proposed_global,proposed,decay_heat_W,global,0.8322916666666667,1.0,1.0495469715390389,1.0494825293399377,baseline_comparison_results.csv
proposed_time_bin,proposed,atoms_H3,time_bin,0.94,1.0,1.2056643876912183,1.2507568421861412,baseline_comparison_results.csv
proposed_time_bin,proposed,atoms_Li6,time_bin,0.9677083333333332,1.0,1.0003593000444542,1.0003779471696146,baseline_comparison_results.csv
proposed_time_bin,proposed,atoms_Li7,time_bin,0.9276041666666668,1.0,1.0000032015575278,1.000003515007885,baseline_comparison_results.csv
proposed_time_bin,proposed,decay_heat_W,time_bin,0.8046875,0.9375,1.0515984376224974,1.042547912534734,baseline_comparison_results.csv
cqr,cqr,atoms_H3,time_bin,0.9653029518384256,1.0,1.3792878782984943,1245872189783135.0,cqr_expanded_targets_results.csv
cqr,cqr,atoms_Li6,time_bin,0.9653925619834712,1.0,1.000513812525137,1.0006139598794157,cqr_expanded_targets_results.csv
cqr,cqr,atoms_Li7,time_bin,0.8832644628099173,1.0,1.0000110220255367,1.000014063486404,cqr_expanded_targets_results.csv
cqr,cqr,decay_heat_W,time_bin,0.9839876033057852,1.0,1.1803668026602483,1.182935364810815,cqr_expanded_targets_results.csv
aci,aci,atoms_H3,time_bin,0.9854166666666668,0.3125,1.45588196488359,1.4382155566856376,baseline_comparison_results.csv
aci,aci,atoms_Li6,time_bin,0.9369791666666668,0.8125,1.000248226415548,1.0002998290200735,baseline_comparison_results.csv
aci,aci,atoms_Li7,time_bin,0.9578125,0.875,1.0000033230070828,1.000003261123958,baseline_comparison_results.csv
aci,aci,decay_heat_W,time_bin,0.9572916666666668,1.0,1.081599413275614,1.075344757123905,baseline_comparison_results.csv
enbpi,enbpi,atoms_H3,time_bin,0.9098958333333332,0.3125,1.269571519207572,1.2657476251366002,baseline_comparison_results.csv
enbpi,enbpi,atoms_Li6,time_bin,0.821875,0.9375,1.0001492921379282,1.0001736984027212,baseline_comparison_results.csv
enbpi,enbpi,atoms_Li7,time_bin,0.8458333333333333,0.9375,1.0000019665259692,1.0000022189809024,baseline_comparison_results.csv
enbpi,enbpi,decay_heat_W,time_bin,0.8703125,1.0,1.0761304713863185,1.058201413013668,baseline_comparison_results.csv
