method,target,global_picp
Proposed CV+ (time-binned),atoms_H3,0.935374149659864
Proposed CV+ (time-binned),atoms_Li6,0.9439269746646796
Proposed CV+ (time-binned),atoms_Li7,0.9536140089418778
Proposed CV+ (time-binned),decay_heat_W,0.9344262295081968
CQR (time-binned),atoms_H3,0.8924792139077853
CQR (time-binned),atoms_Li6,0.9163561847988078
CQR (time-binned),atoms_Li7,0.937779433681073
CQR (time-binned),decay_heat_W,0.9351713859910581
ACI (time-binned),atoms_H3,0.9924414210128496
ACI (time-binned),atoms_Li6,0.9659090909090908
ACI (time-binned),atoms_Li7,0.9755961251862892
ACI (time-binned),decay_heat_W,0.9733606557377048
EnbPI (time-binned),atoms_H3,0.9126984126984128
EnbPI (time-binned),atoms_Li6,0.8543219076005961
EnbPI (time-binned),atoms_Li7,0.8856184798807749
EnbPI (time-binned),decay_heat_W,0.9020119225037256
