time_bin,coverage_90_cal,uq_width_log10_median,uq_half_width_factor_median,method,target
1d-1y,0.7545454545454545,0.046890409694302845,1.1140133868640256,global,atoms_H3
1y-10y,0.9412906356137797,0.046890409694302845,1.1140133868640256,global,atoms_H3
10y-100y,0.8378787878787879,0.046890409694302845,1.1140133868640256,global,atoms_H3
100y-1ky,0.0,0.046890409694302845,1.1140133868640256,global,atoms_H3
1ky-10ky,0.0,0.046890409694302845,1.1140133868640256,global,atoms_H3
>10ky,0.0,0.046890409694302845,1.1140133868640256,global,atoms_H3
1d-1y,1.0,6.077259035935704e-05,1.0001399438518515,global,atoms_Li6
1y-10y,0.9492964580300824,6.077259035935704e-05,1.0001399438518515,global,atoms_Li6
10y-100y,0.9318181818181818,6.077259035935704e-05,1.0001399438518515,global,atoms_Li6
100y-1ky,0.9318181818181818,6.077259035935704e-05,1.0001399438518515,global,atoms_Li6
1ky-10ky,0.9318181818181818,6.077259035935704e-05,1.0001399438518515,global,atoms_Li6
>10ky,0.9318181818181818,6.077259035935704e-05,1.0001399438518515,global,atoms_Li6
1d-1y,1.0,9.058853746705676e-07,1.0000020858803351,global,atoms_Li7
1y-10y,0.9687045123726347,9.058853746705676e-07,1.0000020858803351,global,atoms_Li7
10y-100y,0.9090909090909091,9.058853746705676e-07,1.0000020858803351,global,atoms_Li7
100y-1ky,0.9090909090909091,9.058853746705676e-07,1.0000020858803351,global,atoms_Li7
1ky-10ky,0.9090909090909091,9.058853746705676e-07,1.0000020858803351,global,atoms_Li7
>10ky,0.9090909090909091,9.058853746705676e-07,1.0000020858803351,global,atoms_Li7
1d-1y,0.884090909090909,0.06528873370337968,1.1622210410160518,time_bin,atoms_H3
1y-10y,0.9364386220281417,0.045122541483490215,1.1094878266187798,time_bin,atoms_H3
10y-100y,0.9772727272727271,0.045122541483490215,1.1094878266187798,time_bin,atoms_H3
100y-1ky,0.9772727272727271,0.045122541483490215,1.1094878266187798,time_bin,atoms_H3
1ky-10ky,0.0,1.2796163810182639e-07,1.0000002946426063,time_bin,atoms_H3
>10ky,0.0,0.0,1.0,time_bin,atoms_H3
1d-1y,0.9840909090909091,2.1646242402858578e-06,1.000004984243929,time_bin,atoms_Li6
1y-10y,0.9374090247452693,5.700865501067869e-05,1.0001312758951255,time_bin,atoms_Li6
10y-100y,0.9545454545454546,0.00010401566106353197,1.0002395335941938,time_bin,atoms_Li6
100y-1ky,0.9545454545454546,0.00010421643054198408,1.0002399959938426,time_bin,atoms_Li6
1ky-10ky,0.9545454545454546,0.00010421643054198408,1.0002399959938426,time_bin,atoms_Li6
>10ky,0.9545454545454546,0.00010421643054198408,1.0002399959938426,time_bin,atoms_Li6
1d-1y,0.9613636363636363,6.90639519550298e-08,1.0000001590256389,time_bin,atoms_Li7
1y-10y,0.9524502668607472,8.110209643546046e-07,1.0000018674465263,time_bin,atoms_Li7
10y-100y,0.9545454545454546,1.5354140766427118e-06,1.000003535427814,time_bin,atoms_Li7
100y-1ky,0.9545454545454546,1.5581426591669178e-06,1.0000035877624958,time_bin,atoms_Li7
1ky-10ky,0.9545454545454546,1.5581426591669178e-06,1.0000035877624958,time_bin,atoms_Li7
>10ky,0.9545454545454546,1.5581426591669178e-06,1.0000035877624958,time_bin,atoms_Li7
1d-1y,0.884090909090909,0.06528873370337968,1.1622210410160518,phase_time_bin,atoms_H3
1y-10y,0.9364386220281417,0.045122541483490215,1.1094878266187798,phase_time_bin,atoms_H3
10y-100y,0.8378787878787879,0.046890409694302845,1.1140133868640256,phase_time_bin,atoms_H3
100y-1ky,0.0,0.046890409694302845,1.1140133868640256,phase_time_bin,atoms_H3
1ky-10ky,0.0,0.046890409694302845,1.1140133868640256,phase_time_bin,atoms_H3
>10ky,0.0,0.046890409694302845,1.1140133868640256,phase_time_bin,atoms_H3
1d-1y,0.9840909090909091,2.1646242402858578e-06,1.000004984243929,phase_time_bin,atoms_Li6
1y-10y,0.9340126152353226,5.5255480747861054e-05,1.0001272385404127,phase_time_bin,atoms_Li6
10y-100y,0.9545454545454546,0.00010401566106353197,1.0002395335941938,phase_time_bin,atoms_Li6
100y-1ky,0.9545454545454546,0.00010421643054198408,1.0002399959938426,phase_time_bin,atoms_Li6
1ky-10ky,0.9545454545454546,0.00010421643054198408,1.0002399959938426,phase_time_bin,atoms_Li6
>10ky,0.9545454545454546,0.00010421643054198408,1.0002399959938426,phase_time_bin,atoms_Li6
1d-1y,0.9613636363636363,6.90639519550298e-08,1.0000001590256389,phase_time_bin,atoms_Li7
1y-10y,0.9497816593886463,7.771546573267485e-07,1.00000178946633,phase_time_bin,atoms_Li7
10y-100y,0.9545454545454546,1.5354140766427118e-06,1.000003535427814,phase_time_bin,atoms_Li7
100y-1ky,0.9545454545454546,1.5581426591669178e-06,1.0000035877624958,phase_time_bin,atoms_Li7
1ky-10ky,0.9545454545454546,1.5581426591669178e-06,1.0000035877624958,phase_time_bin,atoms_Li7
>10ky,0.9545454545454546,1.5581426591669178e-06,1.0000035877624958,phase_time_bin,atoms_Li7
