time_bin,coverage_90_cal,uq_width_log10_median,uq_half_width_factor_median,method,target,batch
1d-1y,1.0,0.17235178130573564,1.4871397472537748,global,atoms_H3,n40
1y-10y,1.0,0.1723517813057356,1.4871397472537748,global,atoms_H3,n40
10y-100y,1.0,0.1723517813057356,1.4871397472537748,global,atoms_H3,n40
100y-1ky,0.875,0.17235178130573564,1.4871397472537748,global,atoms_H3,n40
1d-1y,0.875,0.024338947445884634,1.0576426300212025,global,atoms_Li6,n40
1y-10y,0.875,0.024338947445884634,1.0576426300212025,global,atoms_Li6,n40
10y-100y,0.875,0.024338947445884634,1.0576426300212025,global,atoms_Li6,n40
100y-1ky,0.875,0.024338947445884634,1.0576426300212025,global,atoms_Li6,n40
1d-1y,0.9875,0.08848057590693863,1.225972069082068,global,atoms_Li7,n40
1y-10y,0.8922872340425532,0.08848057590693863,1.225972069082068,global,atoms_Li7,n40
10y-100y,0.875,0.08848057590693863,1.225972069082068,global,atoms_Li7,n40
100y-1ky,0.875,0.08848057590693863,1.225972069082068,global,atoms_Li7,n40
1d-1y,0.8375,0.17518801452097682,1.4968835458186118,time_bin,atoms_H3,n40
1y-10y,0.9973404255319149,0.17421183638384366,1.4935227294605078,time_bin,atoms_H3,n40
10y-100y,0.9270833333333334,0.21485250820858331,1.6400327031681283,time_bin,atoms_H3,n40
100y-1ky,0.75,1.2578429275496212,18.106850988427283,time_bin,atoms_H3,n40
1d-1y,0.875,0.02389081112015868,1.056551841054786,time_bin,atoms_Li6,n40
1y-10y,0.875,0.024375288969211602,1.0577311366776836,time_bin,atoms_Li6,n40
10y-100y,0.875,0.023910719916565383,1.0566002762951892,time_bin,atoms_Li6,n40
100y-1ky,0.875,0.023916938228565617,1.0566154050096646,time_bin,atoms_Li6,n40
1d-1y,0.975,0.0806308826507524,1.2040121863957667,time_bin,atoms_Li7,n40
1y-10y,0.8962765957446809,0.08963562571583078,1.2292370047628942,time_bin,atoms_Li7,n40
10y-100y,0.875,0.08616037119899671,1.2194398163013702,time_bin,atoms_Li7,n40
100y-1ky,0.875,0.08616037119899671,1.2194398163013702,time_bin,atoms_Li7,n40
1d-1y,0.8375,0.17518801452097682,1.4968835458186118,phase_time_bin,atoms_H3,n40
1y-10y,0.9973404255319149,0.17412720406689536,1.4932317103961013,phase_time_bin,atoms_H3,n40
10y-100y,0.9270833333333334,0.21485250820858331,1.6400327031681283,phase_time_bin,atoms_H3,n40
100y-1ky,0.75,1.2578429275496212,18.106850988427283,phase_time_bin,atoms_H3,n40
1d-1y,0.875,0.02389081112015868,1.056551841054786,phase_time_bin,atoms_Li6,n40
1y-10y,0.875,0.024389671134935117,1.0577661652516686,phase_time_bin,atoms_Li6,n40
10y-100y,0.875,0.023910719916565383,1.0566002762951892,phase_time_bin,atoms_Li6,n40
100y-1ky,0.875,0.023916938228565617,1.0566154050096646,phase_time_bin,atoms_Li6,n40
1d-1y,0.975,0.0806308826507524,1.2040121863957667,phase_time_bin,atoms_Li7,n40
1y-10y,0.8962765957446809,0.08963562571583078,1.2292370047628942,phase_time_bin,atoms_Li7,n40
10y-100y,0.875,0.08616037119899671,1.2194398163013702,phase_time_bin,atoms_Li7,n40
100y-1ky,0.875,0.08616037119899671,1.2194398163013702,phase_time_bin,atoms_Li7,n40
