method,target,grouping,global_picp,tail_picp_1ky_10ky,median_width,mean_width,tail_source,source_run
aci,atoms_H3,global,0.9526041666666667,0.8125,1.2438523352566597,1.245412727218151,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_H3.csv
aci,atoms_H3,time_bin,0.9447916666666667,0.375,1.3004259238334155,1.3100558517577132,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_H3.csv
aci,atoms_Li6,global,0.9291666666666667,0.9375,1.0002388864011729,1.0002565362392886,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_Li6.csv
aci,atoms_Li6,time_bin,0.9276041666666667,0.875,1.0002451255451343,1.0002720721049312,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_Li6.csv
aci,atoms_Li7,global,0.9364583333333333,1.0,1.000002880973307,1.0000028526773515,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_Li7.csv
aci,atoms_Li7,time_bin,0.9296875,0.875,1.0000029583515166,1.0000028915564632,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_Li7.csv
aci,decay_heat_W,global,0.9348958333333334,1.0,1.0815690744259896,1.0734376277559083,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_generality_decay_heat_W_20260213T24873Z_decayheat_j23876550/run__global/predictions_test_decay_heat_W.csv
aci,decay_heat_W,time_bin,0.9322916666666666,1.0,1.081568762812245,1.0698995614410545,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_generality_decay_heat_W_20260213T24873Z_decayheat_j23876550/run__time_bin/predictions_test_decay_heat_W.csv
enbpi,atoms_H3,global,0.9609375,0.8125,1.2457678804237509,1.249603534118816,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_H3.csv
enbpi,atoms_H3,time_bin,0.9526041666666667,0.3125,1.3086995865439233,1.3080224275295762,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_H3.csv
enbpi,atoms_Li6,global,0.9005208333333333,0.9375,1.0001937146067263,1.0002205265902615,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_Li6.csv
enbpi,atoms_Li6,time_bin,0.8859375,0.9375,1.0001993687254178,1.0002457828154,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_Li6.csv
enbpi,atoms_Li7,global,0.91875,1.0,1.0000022754316504,1.0000026233939008,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_Li7.csv
enbpi,atoms_Li7,time_bin,0.9005208333333333,0.9375,1.0000024665056835,1.0000027052753802,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_Li7.csv
enbpi,decay_heat_W,global,0.9109375,1.0,1.0815633076584263,1.0713361250131657,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_generality_decay_heat_W_20260213T24873Z_decayheat_j23876550/run__global/predictions_test_decay_heat_W.csv
enbpi,decay_heat_W,time_bin,0.9145833333333333,1.0,1.0815143643225011,1.0670610357523729,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_generality_decay_heat_W_20260213T24873Z_decayheat_j23876550/run__time_bin/predictions_test_decay_heat_W.csv
proposed,atoms_H3,global,0.9661458333333334,0.9375,1.2551551937016614,1.2551551937016614,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_H3.csv
proposed,atoms_H3,time_bin,0.8067708333333333,0.8125,1.2056643876912183,1.2507568421861412,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_H3.csv
proposed,atoms_Li6,global,0.9677083333333333,0.9375,1.000389301657973,1.0003893016579732,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_Li6.csv
proposed,atoms_Li6,time_bin,0.9677083333333333,1.0,1.0003593000444542,1.0003779471696146,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_Li6.csv
proposed,atoms_Li7,global,0.9479166666666666,0.875,1.0000033149912397,1.0000033149912397,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_Li7.csv
proposed,atoms_Li7,time_bin,0.9276041666666667,1.0,1.0000032015575278,1.000003515007885,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_Li7.csv
proposed,decay_heat_W,global,0.8322916666666667,1.0,1.0495469715390389,1.0494825293399375,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_generality_decay_heat_W_20260213T24873Z_decayheat_j23876550/run__global/predictions_test_decay_heat_W.csv
proposed,decay_heat_W,time_bin,0.8046875,0.9375,1.0515984376224974,1.0425479125347341,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_generality_decay_heat_W_20260213T24873Z_decayheat_j23876550/run__time_bin/predictions_test_decay_heat_W.csv
