method,target,grouping,global_picp,tail_picp_1ky_10ky,median_width,mean_width,tail_source,source_run,dataset
aci,atoms_H3,global,0.8805744520030234,0.0,1.0953790166722175,2.4862222188034617,1ky-10ky,d224_cvplus_global_H3,D224
enbpi,atoms_H3,global,0.8847316704459561,0.0,1.0990787185944146,1.9103703999859059,1ky-10ky,d224_cvplus_global_H3,D224
proposed,atoms_H3,global,0.9030612244897959,0.0,1.1140133868640256,1.1140133868640254,1ky-10ky,d224_cvplus_global_H3,D224
aci,atoms_H3,time_bin,0.9040060468631897,1.0,1.093411838031529,1.1019261631606267,1ky-10ky,d224_cvplus_smoke,D224
enbpi,atoms_H3,time_bin,0.9126984126984127,1.0,1.098560816749348,1.1048183210730782,1ky-10ky,d224_cvplus_smoke,D224
proposed,atoms_H3,time_bin,0.935374149659864,0.0,1.1094878266187798,1.1136240250912635,1ky-10ky,d224_cvplus_smoke,D224
aci,atoms_Li6,time_bin,0.8943740685543964,0.8409090909090909,1.0001143794624194,1.000090920585128,1ky-10ky,d224_cvplus_Li6,D224
enbpi,atoms_Li6,time_bin,0.8543219076005961,0.9090909090909091,1.0001013933270484,1.0000851903758552,1ky-10ky,d224_cvplus_Li6,D224
proposed,atoms_Li6,time_bin,0.9439269746646796,0.9545454545454546,1.0001312758951255,1.000136907938324,1ky-10ky,d224_cvplus_Li6,D224
aci,atoms_Li7,time_bin,0.8956780923994039,0.8181818181818182,1.0000015120616774,1.000001484786272,1ky-10ky,d224_cvplus_Li7,D224
enbpi,atoms_Li7,time_bin,0.8856184798807749,0.9090909090909091,1.0000013616733225,1.000001400716432,1ky-10ky,d224_cvplus_Li7,D224
proposed,atoms_Li7,time_bin,0.9536140089418778,0.9545454545454546,1.0000018674465263,1.0000019747945454,1ky-10ky,d224_cvplus_Li7,D224
aci,decay_heat_W,time_bin,0.908532041728763,1.0,1.0362687994745174,1.030970821091459,1ky-10ky,d224_cvplus_decay_heat,D224
enbpi,decay_heat_W,time_bin,0.9020119225037257,1.0,1.0376148234606497,1.0297140762273853,1ky-10ky,d224_cvplus_decay_heat,D224
proposed,decay_heat_W,time_bin,0.9344262295081968,1.0,1.0486651460093688,1.0388787575386513,1ky-10ky,d224_cvplus_decay_heat,D224
