method,target,grouping,global_picp,tail_picp_1ky_10ky,median_width,mean_width,tail_source,source_run,dataset
aci,atoms_H3,global,0.9295162509448224,0.0,1.1148520799922257,2.6100641327124654,1ky-10ky,d224_cvplus_global_H3,D224
enbpi,atoms_H3,global,0.9334845049130763,0.0,1.1185157252852431,3.005670105036558,1ky-10ky,d224_cvplus_global_H3,D224
proposed,atoms_H3,global,0.9030612244897959,0.0,1.1140133868640256,1.1140133868640254,1ky-10ky,d224_cvplus_global_H3,D224
aci,atoms_H3,time_bin,0.9523809523809523,1.0,1.1135546305646709,1.125939573914762,1ky-10ky,d224_cvplus_smoke,D224
enbpi,atoms_H3,time_bin,0.95275888133031,1.0,1.1162253094047976,1.1267806210941134,1ky-10ky,d224_cvplus_smoke,D224
proposed,atoms_H3,time_bin,0.935374149659864,0.0,1.1094878266187798,1.1136240250912635,1ky-10ky,d224_cvplus_smoke,D224
aci,atoms_Li6,time_bin,0.936661698956781,0.9318181818181818,1.000131723081332,1.0001232153693358,1ky-10ky,d224_cvplus_Li6,D224
enbpi,atoms_Li6,time_bin,0.9172876304023845,0.9545454545454546,1.0001212194984728,1.0001172167220282,1ky-10ky,d224_cvplus_Li6,D224
proposed,atoms_Li6,time_bin,0.9439269746646796,0.9545454545454546,1.0001312758951255,1.000136907938324,1ky-10ky,d224_cvplus_Li6,D224
aci,atoms_Li7,time_bin,0.9422503725782414,0.9090909090909091,1.000001723833129,1.0000018979823002,1ky-10ky,d224_cvplus_Li7,D224
enbpi,atoms_Li7,time_bin,0.9349850968703428,0.9545454545454546,1.0000015691471222,1.0000018489941203,1ky-10ky,d224_cvplus_Li7,D224
proposed,atoms_Li7,time_bin,0.9536140089418778,0.9545454545454546,1.0000018674465263,1.0000019747945454,1ky-10ky,d224_cvplus_Li7,D224
aci,decay_heat_W,time_bin,0.9523099850968704,1.0,1.0439537529227159,1.0403338775543038,1ky-10ky,d224_cvplus_decay_heat,D224
enbpi,decay_heat_W,time_bin,0.9470938897168405,1.0,1.0494802101850824,1.0391228636361394,1ky-10ky,d224_cvplus_decay_heat,D224
proposed,decay_heat_W,time_bin,0.9344262295081968,1.0,1.0486651460093688,1.0388787575386513,1ky-10ky,d224_cvplus_decay_heat,D224
