target,bin,median_width_log10_no_aggregation,median_width_log10_max_aggregation
atoms_H3,<=1d,,
atoms_H3,1d-1y,0.163,0.3498
atoms_H3,1y-10y,0.0848,0.1728
atoms_H3,10y-100y,0.0911,0.1897
atoms_H3,100y-1ky,1.0915,0.573
atoms_H3,1ky-10ky,5.6025,4.5761
atoms_H3,>10ky,5.6025,4.5761
atoms_Li6,<=1d,,
atoms_Li6,1d-1y,0.0,0.0
atoms_Li6,1y-10y,0.0001,0.0003
atoms_Li6,10y-100y,0.0002,0.0002
atoms_Li6,100y-1ky,0.0002,0.0002
atoms_Li6,1ky-10ky,0.0002,0.0002
atoms_Li6,>10ky,0.0002,0.0002
atoms_Li7,<=1d,,
atoms_Li7,1d-1y,0.0,0.0
atoms_Li7,1y-10y,0.0,0.0
atoms_Li7,10y-100y,0.0,0.0
atoms_Li7,100y-1ky,0.0,0.0
atoms_Li7,1ky-10ky,0.0,0.0
atoms_Li7,>10ky,0.0,0.0
decay_heat_W,<=1d,,
decay_heat_W,1d-1y,0.0364,0.0285
decay_heat_W,1y-10y,0.1549,0.27
decay_heat_W,10y-100y,0.002,0.004
decay_heat_W,100y-1ky,0.0018,0.0016
decay_heat_W,1ky-10ky,0.0018,0.0016
decay_heat_W,>10ky,0.0018,0.0016
