ncal,grouping,target,PICP,median_width_log10,n_train
13,global,atoms_H3,0.9516,3.047971e-01,51
13,global,atoms_Li6,0.9615,4.157641e-04,51
13,global,atoms_Li7,0.8469,2.079319e-06,51
13,time_bin,atoms_H3,0.9521,3.109558e-01,51
13,time_bin,atoms_Li6,0.9474,3.463642e-04,51
13,time_bin,atoms_Li7,0.8219,2.083046e-06,51
16,global,atoms_H3,0.9448,3.063718e-01,48
16,global,atoms_Li6,0.9615,4.882748e-04,48
16,global,atoms_Li7,0.8354,2.401044e-06,48
16,time_bin,atoms_H3,0.9484,3.093896e-01,48
16,time_bin,atoms_Li6,0.9771,4.354378e-04,48
16,time_bin,atoms_Li7,0.8750,2.377662e-06,48
20,global,atoms_H3,0.9609,3.258048e-01,44
20,global,atoms_Li6,0.9437,4.048618e-04,44
20,global,atoms_Li7,0.8750,2.366591e-06,44
20,time_bin,atoms_H3,0.9630,3.231414e-01,44
20,time_bin,atoms_Li6,0.9401,3.665717e-04,44
20,time_bin,atoms_Li7,0.8609,2.050526e-06,44
26,global,atoms_H3,0.9505,3.708937e-01,38
26,global,atoms_Li6,0.9812,4.689644e-04,38
26,global,atoms_Li7,0.8938,2.836494e-06,38
26,time_bin,atoms_H3,0.9526,3.683842e-01,38
26,time_bin,atoms_Li6,0.9823,4.445744e-04,38
26,time_bin,atoms_Li7,0.8979,2.787258e-06,38
32,global,atoms_H3,0.9583,4.120541e-01,32
32,global,atoms_Li6,0.9568,6.062122e-04,32
32,global,atoms_Li7,0.9167,4.484906e-06,32
32,time_bin,atoms_H3,0.9609,4.098488e-01,32
32,time_bin,atoms_Li6,0.9542,5.325797e-04,32
32,time_bin,atoms_Li7,0.9203,4.202429e-06,32
