seed,min_simPICP_atoms_H3,min_simPICP_atoms_Li6,min_simPICP_atoms_Li7,min_simPICP_decay_heat_W,targets_passing,split_success
100,0.666667,0.863636,0.840909,0.818182,0,0
101,0.750000,0.840909,0.840909,0.818182,0,0
102,0.500000,0.750000,0.704545,0.727273,0,0
103,0.857143,0.931818,0.909091,0.863636,2,0
104,0.772727,0.863636,0.886364,0.795455,0,0
105,0.750000,0.863636,0.954545,0.727273,1,0
106,0.909091,0.954545,0.863636,0.818182,2,0
107,0.886364,0.954545,0.954545,0.909091,3,1
108,0.636364,0.840909,0.772727,0.795455,0,0
109,0.840909,0.909091,0.954545,0.840909,2,0
110,0.886364,0.886364,1.000000,0.795455,1,0
111,0.886364,0.931818,0.954545,0.727273,2,0
112,0.886364,0.909091,0.818182,0.727273,1,0
113,0.727273,0.863636,0.727273,0.818182,0,0
114,0.931818,0.977273,0.954545,0.840909,3,1
115,0.840909,0.931818,0.909091,0.863636,2,0
116,0.700000,0.977273,0.954545,0.750000,2,0
117,0.500000,0.909091,0.818182,0.818182,1,0
118,0.909091,0.840909,0.795455,0.886364,1,0
119,0.818182,0.863636,0.818182,0.772727,0,0
