repeat,grouping,target,PICP,median_width_log10
0,global,atoms_H3,0.9891,4.019910e-01
0,global,atoms_Li6,0.9542,4.213389e-04
0,global,atoms_Li7,0.8969,2.883401e-06
0,time_bin,atoms_H3,0.9943,3.961991e-01
0,time_bin,atoms_Li6,0.9229,3.543552e-04
0,time_bin,atoms_Li7,0.8964,2.680673e-06
1,global,atoms_H3,0.9182,2.440930e-01
1,global,atoms_Li6,0.8573,3.500169e-04
1,global,atoms_Li7,0.8505,2.090902e-06
1,time_bin,atoms_H3,0.9245,2.299826e-01
1,time_bin,atoms_Li6,0.8609,3.254274e-04
1,time_bin,atoms_Li7,0.7984,1.823424e-06
2,global,atoms_H3,0.8656,2.055808e-01
2,global,atoms_Li6,0.9177,2.897166e-04
2,global,atoms_Li7,0.9719,3.842174e-06
2,time_bin,atoms_H3,0.8745,2.016387e-01
2,time_bin,atoms_Li6,0.9234,2.533144e-04
2,time_bin,atoms_Li7,0.9729,3.410756e-06
3,global,atoms_H3,0.8094,1.995144e-01
3,global,atoms_Li6,0.9417,3.367331e-04
3,global,atoms_Li7,0.8969,3.835176e-06
3,time_bin,atoms_H3,0.8156,1.979143e-01
3,time_bin,atoms_Li6,0.9328,3.193988e-04
3,time_bin,atoms_Li7,0.8943,3.428419e-06
4,global,atoms_H3,0.8708,2.441199e-01
4,global,atoms_Li6,0.8516,3.927332e-04
4,global,atoms_Li7,0.9365,3.574613e-06
4,time_bin,atoms_H3,0.8505,2.323157e-01
4,time_bin,atoms_Li6,0.8740,3.575363e-04
4,time_bin,atoms_Li7,0.9375,3.441925e-06
5,global,atoms_H3,0.6927,2.131255e-01
5,global,atoms_Li6,0.7307,2.270085e-04
5,global,atoms_Li7,0.9849,4.946783e-06
5,time_bin,atoms_H3,0.7021,1.984201e-01
5,time_bin,atoms_Li6,0.7042,1.998855e-04
5,time_bin,atoms_Li7,0.9839,4.576994e-06
6,global,atoms_H3,0.9505,3.270220e-01
6,global,atoms_Li6,0.9495,4.168314e-04
6,global,atoms_Li7,0.9552,6.267599e-06
6,time_bin,atoms_H3,0.9495,3.141029e-01
6,time_bin,atoms_Li6,0.9453,3.798145e-04
6,time_bin,atoms_Li7,0.9484,5.241278e-06
7,global,atoms_H3,0.8427,2.270053e-01
7,global,atoms_Li6,0.8625,3.248476e-04
7,global,atoms_Li7,0.8536,3.395790e-06
7,time_bin,atoms_H3,0.8505,2.182941e-01
7,time_bin,atoms_Li6,0.8625,3.012991e-04
7,time_bin,atoms_Li7,0.8406,2.947531e-06
8,global,atoms_H3,0.9073,2.851622e-01
8,global,atoms_Li6,0.9260,2.916524e-04
8,global,atoms_Li7,0.9250,3.497600e-06
8,time_bin,atoms_H3,0.8854,2.683099e-01
8,time_bin,atoms_Li6,0.9219,2.665194e-04
8,time_bin,atoms_Li7,0.9255,3.222559e-06
9,global,atoms_H3,0.8625,2.428397e-01
9,global,atoms_Li6,0.9510,4.442890e-04
9,global,atoms_Li7,0.8562,3.352550e-06
9,time_bin,atoms_H3,0.8693,2.411358e-01
9,time_bin,atoms_Li6,0.9380,4.149382e-04
9,time_bin,atoms_Li7,0.8651,2.848150e-06
10,global,atoms_H3,0.8177,1.616855e-01
10,global,atoms_Li6,0.9359,2.960580e-04
10,global,atoms_Li7,0.9427,2.797519e-06
10,time_bin,atoms_H3,0.8266,1.538484e-01
10,time_bin,atoms_Li6,0.9443,2.706492e-04
10,time_bin,atoms_Li7,0.9198,2.402942e-06
11,global,atoms_H3,0.9526,3.218887e-01
11,global,atoms_Li6,0.8734,2.788880e-04
11,global,atoms_Li7,0.8406,2.294368e-06
11,time_bin,atoms_H3,0.9568,3.140806e-01
11,time_bin,atoms_Li6,0.8635,2.123078e-04
11,time_bin,atoms_Li7,0.8135,1.962683e-06
12,global,atoms_H3,0.9682,2.673543e-01
12,global,atoms_Li6,0.9953,3.696022e-04
12,global,atoms_Li7,0.9635,4.437296e-06
12,time_bin,atoms_H3,0.9750,2.637252e-01
12,time_bin,atoms_Li6,0.9901,3.550063e-04
12,time_bin,atoms_Li7,0.9740,3.892861e-06
13,global,atoms_H3,0.9125,2.767240e-01
13,global,atoms_Li6,0.9417,3.735093e-04
13,global,atoms_Li7,0.8943,3.379201e-06
13,time_bin,atoms_H3,0.9151,2.714802e-01
13,time_bin,atoms_Li6,0.9307,3.226885e-04
13,time_bin,atoms_Li7,0.8984,3.094666e-06
14,global,atoms_H3,0.9677,2.903335e-01
14,global,atoms_Li6,0.7849,3.335442e-04
14,global,atoms_Li7,0.8755,3.813689e-06
14,time_bin,atoms_H3,0.9573,2.748601e-01
14,time_bin,atoms_Li6,0.7927,3.223826e-04
14,time_bin,atoms_Li7,0.8760,3.407107e-06
15,global,atoms_H3,0.7812,2.247005e-01
15,global,atoms_Li6,0.9469,4.563572e-04
15,global,atoms_Li7,0.9781,5.138786e-06
15,time_bin,atoms_H3,0.7807,2.202721e-01
15,time_bin,atoms_Li6,0.9521,4.010851e-04
15,time_bin,atoms_Li7,0.9750,4.290532e-06
16,global,atoms_H3,0.7427,2.181604e-01
16,global,atoms_Li6,0.9135,4.092110e-04
16,global,atoms_Li7,0.8573,2.491969e-06
16,time_bin,atoms_H3,0.7547,2.086346e-01
16,time_bin,atoms_Li6,0.9109,3.497500e-04
16,time_bin,atoms_Li7,0.8198,2.195656e-06
17,global,atoms_H3,0.9380,3.052144e-01
17,global,atoms_Li6,0.7802,2.307014e-04
17,global,atoms_Li7,0.9156,2.693128e-06
17,time_bin,atoms_H3,0.9151,2.863987e-01
17,time_bin,atoms_Li6,0.7729,2.116983e-04
17,time_bin,atoms_Li7,0.8948,2.396441e-06
18,global,atoms_H3,0.9552,3.143891e-01
18,global,atoms_Li6,0.8943,3.725894e-04
18,global,atoms_Li7,0.8922,4.331757e-06
18,time_bin,atoms_H3,0.9656,3.097490e-01
18,time_bin,atoms_Li6,0.9156,3.474108e-04
18,time_bin,atoms_Li7,0.8589,3.303409e-06
19,global,atoms_H3,0.9943,3.503972e-01
19,global,atoms_Li6,0.8792,3.079918e-04
19,global,atoms_Li7,0.9068,3.411706e-06
19,time_bin,atoms_H3,0.9995,3.362946e-01
19,time_bin,atoms_Li6,0.8609,3.093198e-04
19,time_bin,atoms_Li7,0.9057,3.016888e-06
